Rank,Country,num_of_laureates,population,laureates_per_ten_mil
1,SaintLucia,2,182273,109.726
2,Luxembourg,2,530380,37.709
3,Switzerland,25,8077833,30.949
4,Iceland,1,329535,30.346
5,Sweden,29,9571105,30.300
6,Denmark,14,5619096,24.915
7,Austria,21,8495145,24.720
8,Norway,11,5042671,21.814
9,UnitedKingdom,121,63136265,19.165
10,EastTimor,2,1132879,17.654
11,Israel,12,7733144,15.518
12,Ireland,6,4627173,12.967
13,Germany,104,82726626,12.572
14,Netherlands,19,16759229,11.337
15,UnitedStates,346,320050716,10.811
16,France,59,64291280,9.177
17,Hungary,9,9954941,9.041
18,Belgium,10,11104476,9.005
19,Cyprus,1,1141166,8.763
20,TrinidadandTobago,1,1341151,7.456
21,Finland,4,5426323,7.371
22,NewZealand,3,4505761,6.658
23,Canada,22,35181704,6.253
24,BosniaandHerzegovina,2,3829307,5.223
25,Australia,12,23342553,5.141
26,Latvia,1,2050317,4.877
27,Slovenia,1,2071997,4.826
28,Macedonia,1,2107158,4.746
29,CzechRepublic,5,10702197,4.672
30,Liberia,2,4294077,4.658
31,Lithuania,1,3016933,3.315
32,Italy,20,60990277,3.279
—,Tibet[4],1,3117917,3.207
33,Poland,12,38216635,3.140
34,Croatia,1,4289714,2.331
35,Palestine,1,4326295,2.311
36,CostaRica,1,4872166,2.052
37,SouthAfrica,10,52776130,1.895
38,Portugal,2,10608156,1.885
39,Greece,2,11127990,1.797
40,Spain,8,46926963,1.705
41,Russia,23,142833689,1.610
42,Japan,19,127143577,1.494
—,HongKong,1,7203836,1.388
43,Bulgaria,1,7222943,1.384
44,Romania,3,21698585,1.383
45,Guatemala,2,15468203,1.293
46,Argentina,5,41446246,1.206
47,Chile,2,17619708,1.135
48,Belarus,1,9356678,1.069
49,Azerbaijan,1,9413420,1.062
50,Algeria,2,39208194,0.510
51,Egypt,4,82056378,0.487
52,Taiwan,1,23329772,0.429
53,Yemen,1,24407381,0.410
54,Ghana,1,25904598,0.386
55,Peru,1,30375603,0.329
56,Venezuela,1,30405207,0.329
57,Morocco,1,33008150,0.303
58,Iran,2,77447168,0.258
59,Mexico,3,122332399,0.245
60,Kenya,1,44353691,0.225
61,Ukraine,1,45238805,0.221
62,Colombia,1,48321405,0.207
63,SouthKorea,1,49262698,0.203
64,Myanmar,1,53259018,0.188
65,Turkey,1,74932641,0.133
66,Vietnam,1,91679733,0.109
67,India,9,1252139596,0.072
68,Bangladesh,1,156594962,0.064
69,China,8,1385566537,0.058
70,Nigeria,1,173615345,0.058
71,Pakistan,1,182142594,0.055
72,Brazil,1,200361925,0.050